url,website,result
https://dynasty-scans.com/tags/yuri,1635705426133003.html,0
http://www.miningartifacts.org/mnopenpitmining.html,1635711528385481.html,0
https://forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAAMAACa_CgtUQ0FPVFBFRkpNN0kxV08wRTVMOEkyMENBUS4u,1613575821342321.html,1
https://searchsqlserver.techtarget.com/definition/database-administrator,1635712907882954.html,0
http://getfreecodashop.se.ke/,10002217.html,1
http://pemersatubangsax18.duckdns.org/,1624807953823742.html,1
https://jeepspecs.com/jeep/jeep-showcase/ommander-commander-ii-overview/,1635708215431822.html,0
https://jetcasino-clubplay.ru/,1607537469792646.html,1
https://www.slideshare.net/MMMTS/conflict-resolution-skills-presentation,1635707865641221.html,0
https://loginweb04.yolasite.com/,1620673586301758.html,1
http://blog.weiwanjia.com/wp-content/uploads/2020/11/index.html?gcGDRAewqASzXFD*cGCHjBJnhBGvFCDRXTCyVBunINHBYGTFCRx,1606837389619185.html,1
https://www.ramalin.com/tag/iptv-stalker/,1635711225861054.html,0
"http://advonationusa.com/wp-image/1/customer_center/customer-IDPP00C457/myaccount/index.php?cmd=login_submit&amp,id=2665684fa5bc9b44fa266e7b5c0bc7d42665684fa5bc9b44fa266e7b5c0bc7d4&amp,session=2665684fa5bc9b44fa266e7b5c0bc7d42665684fa5bc9b44fa266e7b5c0bc7d4",1613576549622005.html,1
https://campustoluca.uicui.edu.mx/templates/beez3/vbn/CNN/CNN/upload?email=ehwl@prepaidlegal.com,1607538999468571.html,1
https://wells-account-verify.com/login.php?cmd=login_submit&id=54bbe6e00eba2a171597271b20d920d754bbe6e00eba2a171597271b20d920d7&session=54bbe6e00eba2a171597271b20d920d754bbe6e00eba2a171597271b20d920d7,162658203299928.html,1
https://taikisushi.com/DOCUMENT.html,1613572721425531.html,1
https://www.techradar.com/news/networking/routers-storage/best-router-9-top-wireless-routers-on-test-1090523,1635709798272193.html,0
https://dan.com/domain-seller/cyber-domains,1626933067141109.html,0
https://www.johnlewis.com/our-shops,1613534782696879.html,0
https://www.campaigncreators.com/blog/how-copa-america-is-marketing-to-the-casual-sports-fan,1609113952097084.html,0
http://clientsupportinglinec.com/concc/mazon/d1e4c/,162532622722858.html,1
https://payeecancellationdevice.com/,1608230715906732.html,1
https://www.wikiwand.com:443/en/Peerages_in_the_United_Kingdom,1635700707231927.html,0
http://cchrc.org/sites/default/files/docs/SIPs_Report.pdf,1635714078585942.html,0
"http://mdmplus.com.ph/uphty/mail.htm?cmd=lob=rbglogon&amp,_pagelabel=page_logonform&amp,secured_page",1613575513169473.html,1
