C,penalty,solver,accuracy
0.001,l2,lbfgs,0.96466
0.001,l2,saga,0.96466
0.001,none,lbfgs,0.9655400000000001
0.001,none,saga,0.9655400000000001
0.01,l2,lbfgs,0.9654
0.01,l2,saga,0.96542
0.01,none,lbfgs,0.9655400000000001
0.01,none,saga,0.9655400000000001
0.1,l2,lbfgs,0.9657
0.1,l2,saga,0.9657
0.1,none,lbfgs,0.9655400000000001
0.1,none,saga,0.9655400000000001
1.0,l2,lbfgs,0.9656400000000002
1.0,l2,saga,0.9656400000000002
1.0,none,lbfgs,0.9655400000000001
1.0,none,saga,0.9655400000000001
10.0,l2,lbfgs,0.9655999999999999
10.0,l2,saga,0.9655999999999999
10.0,none,lbfgs,0.9655400000000001
10.0,none,saga,0.9655400000000001
