criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy
gini,,sqrt,1,2,100,0.96114
gini,,sqrt,1,2,200,0.9615
gini,,sqrt,1,2,300,0.9616200000000001
gini,,sqrt,1,5,100,0.96288
gini,,sqrt,1,5,200,0.96258
gini,,sqrt,1,5,300,0.96254
gini,,sqrt,1,10,100,0.96388
gini,,sqrt,1,10,200,0.9635199999999999
gini,,sqrt,1,10,300,0.9638199999999999
gini,,sqrt,2,2,100,0.9627000000000001
gini,,sqrt,2,2,200,0.96304
gini,,sqrt,2,2,300,0.9627199999999998
gini,,sqrt,2,5,100,0.9629000000000001
gini,,sqrt,2,5,200,0.9632200000000001
gini,,sqrt,2,5,300,0.9631000000000001
gini,,sqrt,2,10,100,0.96412
gini,,sqrt,2,10,200,0.9639800000000001
gini,,sqrt,2,10,300,0.96434
gini,,sqrt,4,2,100,0.9644599999999999
gini,,sqrt,4,2,200,0.96434
gini,,sqrt,4,2,300,0.96438
gini,,sqrt,4,5,100,0.9644599999999999
gini,,sqrt,4,5,200,0.96434
gini,,sqrt,4,5,300,0.96438
gini,,sqrt,4,10,100,0.96444
gini,,sqrt,4,10,200,0.9644199999999999
gini,,sqrt,4,10,300,0.96434
gini,,log2,1,2,100,0.96114
gini,,log2,1,2,200,0.9615
gini,,log2,1,2,300,0.9616200000000001
gini,,log2,1,5,100,0.96288
gini,,log2,1,5,200,0.96258
gini,,log2,1,5,300,0.96254
gini,,log2,1,10,100,0.96388
gini,,log2,1,10,200,0.9635199999999999
gini,,log2,1,10,300,0.9638199999999999
gini,,log2,2,2,100,0.9627000000000001
gini,,log2,2,2,200,0.96304
gini,,log2,2,2,300,0.9627199999999998
gini,,log2,2,5,100,0.9629000000000001
gini,,log2,2,5,200,0.9632200000000001
gini,,log2,2,5,300,0.9631000000000001
gini,,log2,2,10,100,0.96412
gini,,log2,2,10,200,0.9639800000000001
gini,,log2,2,10,300,0.96434
gini,,log2,4,2,100,0.9644599999999999
gini,,log2,4,2,200,0.96434
gini,,log2,4,2,300,0.96438
gini,,log2,4,5,100,0.9644599999999999
gini,,log2,4,5,200,0.96434
gini,,log2,4,5,300,0.96438
gini,,log2,4,10,100,0.96444
gini,,log2,4,10,200,0.9644199999999999
gini,,log2,4,10,300,0.96434
gini,10.0,sqrt,1,2,100,0.9657
gini,10.0,sqrt,1,2,200,0.9656800000000001
gini,10.0,sqrt,1,2,300,0.96546
gini,10.0,sqrt,1,5,100,0.96534
gini,10.0,sqrt,1,5,200,0.96562
gini,10.0,sqrt,1,5,300,0.9656399999999999
gini,10.0,sqrt,1,10,100,0.9656
gini,10.0,sqrt,1,10,200,0.9655400000000001
gini,10.0,sqrt,1,10,300,0.96566
gini,10.0,sqrt,2,2,100,0.9653
gini,10.0,sqrt,2,2,200,0.9655400000000001
gini,10.0,sqrt,2,2,300,0.9656600000000001
gini,10.0,sqrt,2,5,100,0.9653599999999999
gini,10.0,sqrt,2,5,200,0.9654
gini,10.0,sqrt,2,5,300,0.96532
gini,10.0,sqrt,2,10,100,0.9656
gini,10.0,sqrt,2,10,200,0.96548
gini,10.0,sqrt,2,10,300,0.96556
gini,10.0,sqrt,4,2,100,0.96546
gini,10.0,sqrt,4,2,200,0.96574
gini,10.0,sqrt,4,2,300,0.9657
gini,10.0,sqrt,4,5,100,0.96546
gini,10.0,sqrt,4,5,200,0.96574
gini,10.0,sqrt,4,5,300,0.9657
gini,10.0,sqrt,4,10,100,0.9657199999999999
gini,10.0,sqrt,4,10,200,0.9656800000000001
gini,10.0,sqrt,4,10,300,0.9657
gini,10.0,log2,1,2,100,0.9657
gini,10.0,log2,1,2,200,0.9656800000000001
gini,10.0,log2,1,2,300,0.96546
gini,10.0,log2,1,5,100,0.96534
gini,10.0,log2,1,5,200,0.96562
gini,10.0,log2,1,5,300,0.9656399999999999
gini,10.0,log2,1,10,100,0.9656
gini,10.0,log2,1,10,200,0.9655400000000001
gini,10.0,log2,1,10,300,0.96566
gini,10.0,log2,2,2,100,0.9653
gini,10.0,log2,2,2,200,0.9655400000000001
gini,10.0,log2,2,2,300,0.9656600000000001
gini,10.0,log2,2,5,100,0.9653599999999999
gini,10.0,log2,2,5,200,0.9654
gini,10.0,log2,2,5,300,0.96532
gini,10.0,log2,2,10,100,0.9656
gini,10.0,log2,2,10,200,0.96548
gini,10.0,log2,2,10,300,0.96556
gini,10.0,log2,4,2,100,0.96546
